Species List,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fish Crow,16,27,13,41,46,121,159,187,108,119,38,85,93,97,129,136,177,106,149,135,216,154,149,172,286,197,353,246,291,306,244,217,294,378,268,300,247,278,221,305,260,296,280,245,270,300,335,340,267,298,279,246,297
unid. American Crow / Fish Crow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,17,0,0,0,0,0,8,12,0,1,0,5,10,11,6,0,10,8,9,8
Common Raven,0,0,0,0,0,1,0,0,0,0,1,2,7,7,0,4,8,1,1,0,0,2,7,0,0,1,0,2,3,8,9,3,11,4,6,9,8,2,6,4,7,7,6,18,7,9,9,13,7,12,12,9,5
Horned Lark,0,0,5,3,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,1,7,9,12,44,29,20,39,32,20,26,27,35,26,42,34,43,55,43,32,24,41,24,39,77,128,101,70,86,84,81,79,68
Purple Martin,175,88,124,87,73,147,106,127,178,96,135,214,114,130,211,151,145,101,133,185,217,185,170,204,449,455,521,438,581,551,581,496,583,649,711,743,761,702,912,803,994,1032,820,664,877,988,990,790,780,774,824,917,743
Tree Swallow,0,0,0,2,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3,7,8,2,19,8,14,11,16,16,35,18,30,50,40,35,62,57,65,52,51,53
Northern Rough-winged Swallow,10,8,24,33,19,31,60,61,35,47,20,24,49,22,74,85,25,31,21,39,25,16,24,27,47,19,44,27,35,32,82,40,36,43,73,106,76,74,101,79,72,56,45,52,57,101,80,127,114,102,150,139,123
Bank Swallow,0,0,0,0,0,0,0,0,6,1,0,8,2,8,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,4,5,8,2,2,0,0,0,1,0,25,0,0,2,0,1,3,0,0
Cliff Swallow,0,0,0,0,0,21,32,25,21,18,13,64,49,43,66,0,45,40,56,13,24,0,10,21,14,10,15,4,22,8,18,12,8,4,9,6,8,11,8,39,14,42,143,81,41,78,191,109,191,165,201,216,160
Barn Swallow,82,60,65,73,92,200,204,268,249,310,290,371,301,280,419,160,285,265,234,250,264,218,188,237,374,382,367,378,392,449,512,574,529,576,706,815,692,811,827,986,1123,1061,988,840,1007,1379,1541,1244,1213,1174,1182,1278,1159
Carolina Chickadee,100,69,145,88,55,175,183,175,120,190,148,234,228,169,271,129,218,220,200,182,239,260,248,173,416,409,372,348,595,666,541,627,556,755,710,898,752,756,670,691,820,727,714,631,799,949,1071,867,770,929,908,928,871
Black-capped Chickadee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,3,0,0,2,0,5,4,3,2,0,4
Tufted Titmouse,153,144,146,167,97,234,217,254,208,226,193,235,193,182,237,188,149,243,276,151,238,261,297,273,553,542,458,483,690,670,902,747,756,980,1033,1011,1098,1188,1034,1147,1028,947,1065,967,915,1383,1410,1570,1462,1633,1269,1676,1563
Red-breasted Nuthatch,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,5,2,5,4,3,0,2,2,2,1,2,2,1,0,2,3,9,13,9,1,9,6,10,9,4
White-breasted Nuthatch,9,5,5,4,4,9,16,11,7,8,18,19,9,6,20,12,17,21,18,9,14,22,29,14,43,34,45,44,71,96,66,81,62,115,113,152,124,95,93,140,139,136,122,76,99,149,180,134,112,121,118,123,108
Brown-headed Nuthatch,23,17,23,25,18,29,49,48,38,32,18,30,47,18,47,21,40,31,42,46,39,72,84,46,67,44,94,56,118,113,154,161,124,124,163,161,195,139,121,123,196,208,197,151,203,219,246,208,167,201,203,184,222
Brown Creeper,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,3,1,0,2,2,0,2,1,0,2,5,1,0,2,0,1,3,1,5,0
House Wren,4,3,14,1,6,13,11,11,8,10,13,16,9,8,16,2,6,7,0,2,0,4,4,5,5,21,15,19,16,37,43,44,34,45,46,60,55,34,37,50,44,33,54,57,47,42,67,72,59,62,55,59,63
Winter Wren,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,1,1,0,0,0,0,4,3,0,0,5,0,3,18,14,3,7,7,10,2,6,2,5,4,10,7,7,6,2,2,1,4,2,2,6,6,5,0
Marsh Wren,0,0,0,0,0,0,1,4,3,0,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carolina Wren,184,170,210,176,187,436,390,435,478,563,457,381,330,321,415,247,390,416,398,361,517,567,440,367,1058,968,1194,1085,1379,1566,1325,1260,1402,1804,1615,1732,1915,1849,2094,2178,2413,2221,1757,1650,2098,1919,2255,2588,2306,2199,2246,2487,2652
Bewick's Wren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue-gray Gnatcatcher,24,14,21,37,17,55,62,37,48,67,71,91,80,92,120,53,86,119,111,92,100,135,136,128,249,364,400,350,484,578,461,505,484,705,688,691,768,862,761,800,858,728,745,646,578,683,697,749,744,940,971,953,881
Golden-crowned Kinglet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,3,0,0,8,0,1,0,0,5,0,3,19,0,4,1,2,3,7,14,6,7,6,4,6,7,10,8,4,9,16,8
Eastern Bluebird,36,49,42,18,28,31,51,49,59,45,83,99,86,86,106,76,94,108,92,124,194,226,270,347,387,399,346,336,494,537,486,567,578,764,868,897,967,745,720,798,998,1068,949,712,941,1178,1100,1122,951,902,1067,1170,1091
Veery,0,0,0,1,0,0,0,0,0,0,10,17,26,13,0,3,5,0,0,0,0,17,36,0,0,28,0,37,75,97,47,45,50,64,59,73,89,83,91,69,59,81,69,78,87,119,120,132,113,89,81,83,57
Swainson's Thrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermit Thrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wood Thrush,194,143,287,360,193,425,319,417,384,450,455,567,439,379,443,243,268,300,303,195,279,226,230,166,389,392,417,468,584,546,500,524,573,561,601,750,622,609,634,508,573,530,500,361,401,320,365,313,392,446,382,415,328
American Robin,118,137,246,197,212,268,312,258,281,324,346,376,312,320,331,212,195,212,197,216,239,285,203,244,571,555,574,567,805,916,783,945,959,946,936,1222,1177,1190,1089,1088,1239,1299,1103,792,1105,1444,1457,1364,1262,1280,1319,1239,1100
Gray Catbird,80,46,97,67,90,124,152,109,129,166,172,148,145,136,108,68,105,49,39,43,51,68,87,48,83,123,183,175,272,281,217,233,279,282,277,340,441,431,432,433,427,357,298,321,345,339,354,329,320,335,333,336,258
Brown Thrasher,97,121,116,142,106,145,126,97,107,108,111,123,128,129,138,69,64,105,102,84,113,93,107,73,195,189,202,186,291,286,326,277,251,269,349,339,350,377,314,311,338,319,351,331,393,435,505,452,364,476,418,450,461
Northern Mockingbird,641,580,754,600,548,599,586,586,572,506,433,556,501,347,429,356,323,383,316,316,395,433,430,404,949,777,714,628,960,1061,946,871,928,1180,1310,1538,1629,1567,1549,1532,1769,1659,1783,1412,2008,2409,2397,2022,1873,1931,1788,1875,1808
European Starling,710,692,864,765,993,926,1040,1079,1029,872,791,642,683,584,732,712,374,548,595,439,461,577,644,630,1409,1362,1623,1396,1831,1812,1397,2065,1959,2260,3025,2222,2371,2137,1965,1852,2390,2100,2177,1519,2507,3010,2918,2548,2412,2570,2457,2245,2281
Cedar Waxwing,0,0,0,0,7,8,11,0,1,1,10,4,3,0,11,0,0,2,5,0,7,14,28,7,27,46,43,51,64,81,62,98,41,160,108,119,149,139,118,207,146,143,175,67,155,235,138,244,308,159,207,211,158
House Sparrow,901,917,1265,1282,1410,1757,1806,1341,1367,1333,1063,1206,1315,1092,1175,718,497,523,718,362,617,489,390,365,750,704,464,554,681,676,488,542,593,597,512,623,682,590,609,566,476,559,453,282,518,572,544,416,520,485,485,513,459
House Finch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,3,15,85,67,95,99,197,282,218,285,278,386,457,568,539,367,382,384,427,527,515,246,333,417,398,346,264,347,439,415,531
Red Crossbill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0
Pine Siskin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
American Goldfinch,22,15,60,30,29,39,41,43,40,48,66,93,39,69,32,24,56,62,42,47,63,61,79,65,155,153,144,157,229,246,256,290,287,536,470,633,590,622,503,524,757,640,594,382,362,513,518,563,549,515,561,558,539
Eastern Towhee,302,331,442,452,427,549,496,510,451,433,365,497,403,334,282,209,229,242,225,215,284,276,309,254,438,464,507,571,962,956,982,931,837,968,967,1185,1321,1386,1462,1341,1423,1390,1171,1033,1166,1184,1157,1095,1119,1169,1012,1068,976
Bachman's Sparrow,1,1,2,0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,3,3,7,6,3,5,7,4,0,3,2,5,8,1,9,2,5,8,4,5,7,11,5,14,4,9,9
Chipping Sparrow,181,177,266,154,167,156,196,132,116,112,129,158,176,150,145,136,145,199,228,154,243,241,230,220,553,543,593,537,664,790,668,621,562,838,726,1003,1030,1107,1041,1242,1307,1180,1284,952,1265,1774,1683,1485,1390,1417,1487,1665,1624
Field Sparrow,187,184,271,179,145,244,211,245,251,241,228,230,164,126,152,124,120,146,116,144,169,179,154,114,380,335,342,265,370,373,324,275,230,312,242,367,399,311,350,396,411,442,399,281,357,431,387,368,375,414,328,420,306
Vesper Sparrow,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Savannah Sparrow,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,2,3,5,5,2,3
Grasshopper Sparrow,8,7,21,8,4,5,4,7,7,15,10,21,8,2,3,15,10,7,6,24,20,9,7,19,59,74,55,41,71,68,49,44,34,72,80,100,94,71,69,79,74,87,61,21,39,83,70,48,48,46,48,90,77
Henslow's Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,2,5,3,6,5,2,6,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seaside Sparrow,0,0,1,0,5,15,4,5,5,4,2,7,7,8,6,5,2,14,8,4,14,10,9,7,5,7,9,21,7,8,1,7,10,9,5,6,5,3,8,5,4,6,2,1,1,2,5,5,5,5,5,2,4
Song Sparrow,45,5,127,78,88,126,121,133,170,194,175,224,185,180,176,98,52,56,75,19,79,111,76,85,170,233,161,139,185,246,260,334,333,401,385,423,439,452,410,449,392,406,450,356,338,439,354,463,438,442,421,425,333
(Slate-colored Junco) Dark-eyed Junco,0,0,4,0,0,10,2,0,3,4,37,34,42,34,1,28,24,3,3,0,2,29,41,1,4,36,6,24,166,129,99,51,104,118,125,109,105,102,100,128,91,109,101,130,93,138,141,120,146,119,113,107,69
Yellow-breasted Chat,72,63,107,95,76,114,141,108,102,102,80,81,90,71,93,70,74,119,114,110,132,115,133,122,199,244,273,221,271,323,265,321,257,377,405,467,519,488,509,520,569,493,518,419,426,470,575,515,453,461,423,459,482
Bobolink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
Eastern Meadowlark,317,250,397,314,309,369,348,420,374,347,288,363,247,250,221,195,162,210,136,170,179,141,144,143,458,454,382,280,410,439,383,362,324,392,379,459,388,371,357,370,430,406,379,318,452,571,545,475,468,481,349,436,418
Orchard Oriole,64,50,46,57,49,85,66,65,74,70,73,91,83,82,93,99,83,98,116,97,118,135,145,144,297,256,345,310,284,357,300,267,268,265,238,337,328,367,369,383,387,414,356,331,440,479,459,361,372,375,318,353,332
Baltimore Oriole,0,0,0,0,0,2,0,0,5,1,1,3,1,0,3,2,0,0,0,1,2,0,0,0,0,1,1,0,1,1,4,0,7,4,6,7,5,4,1,4,3,1,6,1,0,4,9,2,1,3,6,10,19
Red-winged Blackbird,127,157,227,194,187,246,271,230,231,259,174,268,226,213,178,147,122,107,100,128,119,105,137,122,217,235,278,243,293,326,337,419,477,430,471,530,456,462,575,519,468,416,422,441,499,580,579,593,518,737,590,606,625
Brown-headed Cowbird,28,26,74,32,43,117,96,132,140,114,103,130,172,194,134,108,213,167,241,112,190,222,235,134,296,247,403,383,394,415,396,504,403,595,590,539,644,630,535,722,791,739,633,402,601,682,641,596,670,633,604,608,716
Common Grackle,705,914,1139,1359,1416,1647,1786,3072,1876,1307,1520,1442,1378,1143,1140,1123,785,1061,730,803,1137,948,1047,1165,2215,1962,2100,1515,2056,2435,2011,2682,2578,3078,2931,4026,2606,2702,2736,2738,3043,2665,2503,1933,3442,2858,3229,2467,2085,1964,2149,2089,1901
Boat-tailed Grackle,3,0,2,14,11,39,18,23,24,39,3,28,27,21,20,9,25,23,25,35,44,75,34,55,58,78,148,40,66,109,81,81,127,139,101,170,118,110,100,86,140,83,100,122,79,72,103,99,85,59,66,69,81
Ovenbird,3,8,77,54,20,48,75,50,51,99,94,136,104,90,88,58,60,102,134,75,121,115,142,111,158,216,178,248,433,422,421,400,439,509,488,584,690,665,613,564,504,498,468,425,429,459,450,441,486,452,438,426,356
Worm-eating Warbler,0,0,3,5,0,6,6,3,2,7,9,18,15,5,11,7,14,26,25,7,9,15,14,5,8,22,26,43,63,70,71,59,65,54,64,61,66,65,91,81,63,60,49,59,41,63,56,68,75,87,64,73,59
Louisiana Waterthrush,1,1,3,6,2,2,5,3,4,8,6,3,6,3,3,4,3,8,15,4,6,12,11,14,18,12,19,19,35,29,33,17,28,28,23,30,25,23,33,38,29,29,28,16,33,48,32,44,50,46,44,40,40
Northern Waterthrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden-winged Warbler,0,0,2,2,0,1,3,2,17,7,10,11,14,7,7,0,0,0,5,0,0,0,0,2,0,1,0,0,3,0,2,0,3,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Blue-winged Warbler,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0
Black-and-white Warbler,0,1,18,15,6,17,25,6,19,14,34,48,34,16,19,3,4,11,14,7,18,21,27,20,12,40,23,43,84,50,69,70,79,78,56,87,89,109,105,110,113,81,68,68,44,94,74,82,98,118,96,111,71
Prothonotary Warbler,18,7,7,11,6,50,13,30,24,76,15,14,37,27,24,45,58,42,48,42,45,66,76,68,105,92,181,216,217,211,230,233,204,246,247,257,231,199,252,280,282,259,225,294,314,209,303,327,330,366,281,291,286
Swainson's Warbler,0,1,0,1,1,3,0,8,4,3,2,6,8,3,4,4,7,6,4,4,6,6,5,3,5,7,8,15,11,10,16,20,15,16,14,12,15,22,19,13,26,17,8,6,20,22,10,21,23,27,27,34,22
Kentucky Warbler,3,2,11,8,0,1,3,5,13,5,6,18,12,5,5,5,7,9,8,7,12,9,17,15,16,27,16,30,20,30,35,31,24,25,20,27,23,24,32,27,24,19,13,12,15,13,8,11,12,18,13,18,19
Common Yellowthroat,155,166,276,180,183,272,365,384,295,283,206,230,192,138,231,140,220,138,153,159,186,171,227,194,313,364,474,493,640,660,620,636,626,692,637,730,805,723,815,822,875,780,667,556,674,559,659,699,672,672,683,782,689
Hooded Warbler,43,36,35,40,57,48,73,68,53,60,40,84,85,38,74,45,57,75,90,48,66,58,74,68,90,115,118,134,238,221,187,209,244,211,241,235,272,264,248,245,259,246,236,195,243,283,275,314,291,303,279,314,250
American Redstart,0,2,22,12,1,3,2,5,13,9,11,10,14,8,12,2,6,3,13,8,5,2,11,6,9,8,21,12,31,23,35,38,53,63,56,35,57,51,48,41,57,51,30,48,27,39,43,22,31,40,25,32,25
Cerulean Warbler,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,9,2,0,1,0,2,1,6,4,0,3,0,0,1,1,0,0,0,7,7,5,6,0,0
Northern Parula,35,46,27,36,35,40,34,38,54,46,38,60,73,44,49,42,46,39,62,35,59,59,62,66,108,118,152,131,227,186,196,181,219,228,242,248,258,266,201,223,223,190,186,180,160,270,237,285,275,287,238,258,236
Magnolia Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackburnian Warbler,0,0,0,1,0,0,3,0,3,3,4,2,1,3,0,2,0,0,0,0,0,0,1,1,0,2,0,0,33,38,35,4,8,9,8,6,4,9,7,15,11,10,7,1,4,17,5,11,16,13,12,7,9
Yellow Warbler,5,2,21,11,6,9,14,6,18,24,25,21,23,12,27,10,6,6,16,0,5,15,12,6,4,19,7,8,14,20,44,37,27,28,19,19,21,15,13,15,18,15,15,20,11,11,21,3,10,6,9,17,10
Chestnut-sided Warbler,0,0,13,14,4,16,16,8,47,41,56,62,58,48,24,14,13,8,3,0,3,22,14,16,16,34,22,28,130,109,80,58,90,89,65,93,87,65,80,68,78,70,65,53,54,57,93,83,66,74,28,26,26
Black-throated Blue Warbler,0,0,2,2,1,2,4,0,9,7,18,29,32,32,9,11,9,2,5,0,13,26,34,10,11,41,10,24,155,109,72,68,82,88,74,88,89,86,80,54,73,82,56,74,68,98,101,98,111,111,81,74,54
Pine Warbler,69,53,68,40,42,95,82,93,100,133,127,110,124,112,126,78,133,213,212,159,229,202,243,191,380,334,455,395,497,593,416,515,535,717,610,667,743,511,509,657,757,575,588,503,593,587,714,775,631,628,702,768,744
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow-throated Warbler,25,5,19,11,3,17,14,18,15,13,13,26,42,17,10,20,21,26,22,14,21,16,15,35,71,68,70,94,90,94,128,101,123,138,144,140,165,209,134,188,160,122,131,114,106,144,152,184,168,202,166,160,148
Prairie Warbler,55,53,106,87,55,81,221,159,112,109,61,55,57,53,43,45,122,95,81,59,81,97,112,86,100,112,204,228,240,282,233,305,246,319,261,313,361,362,364,413,429,234,236,227,271,281,294,320,307,329,270,273,226
Black-throated Green Warbler,0,0,9,1,0,0,4,2,2,3,1,10,14,4,0,7,3,1,3,0,1,3,6,13,14,19,18,29,120,136,103,73,96,131,111,147,119,128,140,137,142,115,102,118,58,94,87,149,148,152,140,139,124
Canada Warbler,0,0,0,0,0,0,0,0,1,3,12,12,11,6,0,10,8,0,3,0,1,6,9,2,1,15,0,0,33,38,36,26,25,29,24,28,40,33,32,36,30,35,31,30,27,32,40,29,34,36,19,22,9
Summer Tanager,61,46,60,40,40,51,52,67,55,64,65,69,82,80,92,71,82,84,99,73,87,68,89,76,199,186,240,199,280,319,270,214,241,276,320,361,402,342,347,372,376,311,302,277,398,465,421,417,415,431,378,510,444
Scarlet Tanager,3,0,21,25,23,15,21,13,27,30,40,60,58,29,49,17,22,32,25,11,42,45,56,26,59,77,57,56,122,109,77,81,80,100,128,156,131,108,105,126,121,125,126,96,112,143,130,123,109,112,150,160,125
Northern Cardinal,603,694,915,884,692,997,927,990,852,782,733,977,778,592,604,506,433,469,453,417,602,614,636,550,1203,1156,1246,1195,1511,1658,1625,1588,1415,1720,1878,2282,2239,2389,2305,2525,2672,2646,2417,2114,2584,3204,2952,2817,2594,2873,2772,2907,3189
Rose-breasted Grosbeak,0,0,7,0,0,0,1,0,11,8,13,21,17,7,6,2,3,1,12,1,4,0,10,1,1,6,2,0,35,16,15,13,11,22,14,21,24,19,30,11,9,4,11,12,7,11,2,6,15,13,9,5,4
Blue Grosbeak,81,84,108,113,80,127,127,111,109,147,171,179,139,171,209,173,143,185,181,154,172,186,230,203,461,477,453,379,499,496,558,440,401,488,443,534,509,540,585,574,671,632,628,554,749,918,923,806,661,690,744,885,863
Indigo Bunting,270,347,476,499,326,544,528,507,511,583,567,790,631,556,608,473,438,521,615,502,690,640,749,650,1262,1290,1347,1111,1581,1687,1639,1486,1448,1839,1858,2056,2082,2309,2032,2139,2352,2056,1896,1588,1931,2474,2155,2083,1991,2034,1852,1941,1869
Painted Bunting,6,9,3,3,4,4,3,4,4,4,0,3,1,0,0,2,0,0,2,0,0,4,0,1,3,2,1,3,4,2,4,2,11,3,6,6,3,6,5,6,8,6,5,6,5,7,6,6,9,7,4,4,7
Dickcissel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,2,4,3,6,0,5,2,0,1,5,4,0,1,0,1,1,3,0,1,1,0,4,7,9
Total Species,100,99,125,121,114,123,135,122,140,132,133,137,139,133,132,128,128,122,126,117,130,135,136,128,132,144,137,141,158,154,155,149,151,151,154,149,155,161,150,151,150,154,161,153,156,157,152,156,157,158,164,158,154
Total individuals,10839,10565,14626,13536,12399,17358,17839,19102,16778,16410,15523,18202,16070,13860,15652,11335,11406,12547,12643,10693,14823,14746,14964,13571,27569,27193,29236,27412,38185,39696,36754,37968,36667,44230,45781,53251,51299,50306,49473,50872,55391,52561,48990,40714,53726,59554,59953,56085,53544,55136,53812,57278,54674